name,email,phone,company,role,status,value,niche_key,niche,city,website,notes
Hotel Antofagasta,info@hotelantofagasta.cl,+56 55 2659000 /,Hotel Antofagasta,Tourism & Hospitality — Antofagasta,lead,0,tourism,Tourism & Hospitality,antofagasta,hotelantofagasta.cl,"{""city"": ""antofagasta"", ""niche"": ""tourism"", ""website"": ""hotelantofagasta.cl"", ""page"": ""companies/antofagasta/hotel-antofagasta.html"", ""vertical"": ""Tourism""}"
Hotel Antofagasta,contacto@hotelantofagasta.cl,+56 55 2659000 /,Hotel Antofagasta,Dueño/a,lead,0,tourism,Tourism & Hospitality,antofagasta,hotelantofagasta.cl,"{""city"": ""antofagasta"", ""niche"": ""tourism"", ""website"": ""hotelantofagasta.cl"", ""page"": ""companies/antofagasta/hotel-antofagasta.html"", ""vertical"": ""Tourism""}"
Hotel Antofagasta,ventas@hotelantofagasta.cl,+56 55 2659000 /,Hotel Antofagasta,Gerente de Ventas,lead,0,tourism,Tourism & Hospitality,antofagasta,hotelantofagasta.cl,"{""city"": ""antofagasta"", ""niche"": ""tourism"", ""website"": ""hotelantofagasta.cl"", ""page"": ""companies/antofagasta/hotel-antofagasta.html"", ""vertical"": ""Tourism""}"
Hotel Antofagasta,admin@hotelantofagasta.cl,+56 55 2659000 /,Hotel Antofagasta,Administrador/a,lead,0,tourism,Tourism & Hospitality,antofagasta,hotelantofagasta.cl,"{""city"": ""antofagasta"", ""niche"": ""tourism"", ""website"": ""hotelantofagasta.cl"", ""page"": ""companies/antofagasta/hotel-antofagasta.html"", ""vertical"": ""Tourism""}"
Hotel Antofagasta,hola@hotelantofagasta.cl,+56 55 2659000 /,Hotel Antofagasta,Recepción,lead,0,tourism,Tourism & Hospitality,antofagasta,hotelantofagasta.cl,"{""city"": ""antofagasta"", ""niche"": ""tourism"", ""website"": ""hotelantofagasta.cl"", ""page"": ""companies/antofagasta/hotel-antofagasta.html"", ""vertical"": ""Tourism""}"
Enjoy Antofagasta Hotel del Desierto,info@enjoyantofagasta.com,+56 55 265 3000,Enjoy Antofagasta Hotel del Desierto,Tourism & Hospitality — Antofagasta,lead,0,tourism,Tourism & Hospitality,antofagasta,enjoyantofagasta.com,"{""city"": ""antofagasta"", ""niche"": ""tourism"", ""website"": ""enjoyantofagasta.com"", ""page"": ""companies/antofagasta/enjoy-antofagasta-hotel-del-desierto.html"", ""vertical"": ""Tourism""}"
Enjoy Antofagasta Hotel del Desierto,contacto@enjoyantofagasta.com,+56 55 265 3000,Enjoy Antofagasta Hotel del Desierto,Dueño/a,lead,0,tourism,Tourism & Hospitality,antofagasta,enjoyantofagasta.com,"{""city"": ""antofagasta"", ""niche"": ""tourism"", ""website"": ""enjoyantofagasta.com"", ""page"": ""companies/antofagasta/enjoy-antofagasta-hotel-del-desierto.html"", ""vertical"": ""Tourism""}"
Enjoy Antofagasta Hotel del Desierto,ventas@enjoyantofagasta.com,+56 55 265 3000,Enjoy Antofagasta Hotel del Desierto,Gerente de Ventas,lead,0,tourism,Tourism & Hospitality,antofagasta,enjoyantofagasta.com,"{""city"": ""antofagasta"", ""niche"": ""tourism"", ""website"": ""enjoyantofagasta.com"", ""page"": ""companies/antofagasta/enjoy-antofagasta-hotel-del-desierto.html"", ""vertical"": ""Tourism""}"
Enjoy Antofagasta Hotel del Desierto,admin@enjoyantofagasta.com,+56 55 265 3000,Enjoy Antofagasta Hotel del Desierto,Administrador/a,lead,0,tourism,Tourism & Hospitality,antofagasta,enjoyantofagasta.com,"{""city"": ""antofagasta"", ""niche"": ""tourism"", ""website"": ""enjoyantofagasta.com"", ""page"": ""companies/antofagasta/enjoy-antofagasta-hotel-del-desierto.html"", ""vertical"": ""Tourism""}"
Enjoy Antofagasta Hotel del Desierto,hola@enjoyantofagasta.com,+56 55 265 3000,Enjoy Antofagasta Hotel del Desierto,Recepción,lead,0,tourism,Tourism & Hospitality,antofagasta,enjoyantofagasta.com,"{""city"": ""antofagasta"", ""niche"": ""tourism"", ""website"": ""enjoyantofagasta.com"", ""page"": ""companies/antofagasta/enjoy-antofagasta-hotel-del-desierto.html"", ""vertical"": ""Tourism""}"
Geotel Antofagasta,info@geotelantofagasta.com,+56 55 257 4400,Geotel Antofagasta,Tourism & Hospitality — Antofagasta,lead,0,tourism,Tourism & Hospitality,antofagasta,geotelantofagasta.com,"{""city"": ""antofagasta"", ""niche"": ""tourism"", ""website"": ""geotelantofagasta.com"", ""page"": ""companies/antofagasta/geotel-antofagasta.html"", ""vertical"": ""Tourism""}"
Geotel Antofagasta,contacto@geotelantofagasta.com,+56 55 257 4400,Geotel Antofagasta,Dueño/a,lead,0,tourism,Tourism & Hospitality,antofagasta,geotelantofagasta.com,"{""city"": ""antofagasta"", ""niche"": ""tourism"", ""website"": ""geotelantofagasta.com"", ""page"": ""companies/antofagasta/geotel-antofagasta.html"", ""vertical"": ""Tourism""}"
Geotel Antofagasta,ventas@geotelantofagasta.com,+56 55 257 4400,Geotel Antofagasta,Gerente de Ventas,lead,0,tourism,Tourism & Hospitality,antofagasta,geotelantofagasta.com,"{""city"": ""antofagasta"", ""niche"": ""tourism"", ""website"": ""geotelantofagasta.com"", ""page"": ""companies/antofagasta/geotel-antofagasta.html"", ""vertical"": ""Tourism""}"
Geotel Antofagasta,admin@geotelantofagasta.com,+56 55 257 4400,Geotel Antofagasta,Administrador/a,lead,0,tourism,Tourism & Hospitality,antofagasta,geotelantofagasta.com,"{""city"": ""antofagasta"", ""niche"": ""tourism"", ""website"": ""geotelantofagasta.com"", ""page"": ""companies/antofagasta/geotel-antofagasta.html"", ""vertical"": ""Tourism""}"
Geotel Antofagasta,hola@geotelantofagasta.com,+56 55 257 4400,Geotel Antofagasta,Recepción,lead,0,tourism,Tourism & Hospitality,antofagasta,geotelantofagasta.com,"{""city"": ""antofagasta"", ""niche"": ""tourism"", ""website"": ""geotelantofagasta.com"", ""page"": ""companies/antofagasta/geotel-antofagasta.html"", ""vertical"": ""Tourism""}"
Terrado Suites Antofagasta,info@terrado.cl,+56 55 271 2801 /,Terrado Suites Antofagasta,Tourism & Hospitality — Antofagasta,lead,0,tourism,Tourism & Hospitality,antofagasta,terrado.cl,"{""city"": ""antofagasta"", ""niche"": ""tourism"", ""website"": ""terrado.cl"", ""page"": ""companies/antofagasta/terrado-suites-antofagasta.html"", ""vertical"": ""Tourism""}"
Terrado Suites Antofagasta,contacto@terrado.cl,+56 55 271 2801 /,Terrado Suites Antofagasta,Dueño/a,lead,0,tourism,Tourism & Hospitality,antofagasta,terrado.cl,"{""city"": ""antofagasta"", ""niche"": ""tourism"", ""website"": ""terrado.cl"", ""page"": ""companies/antofagasta/terrado-suites-antofagasta.html"", ""vertical"": ""Tourism""}"
Terrado Suites Antofagasta,ventas@terrado.cl,+56 55 271 2801 /,Terrado Suites Antofagasta,Gerente de Ventas,lead,0,tourism,Tourism & Hospitality,antofagasta,terrado.cl,"{""city"": ""antofagasta"", ""niche"": ""tourism"", ""website"": ""terrado.cl"", ""page"": ""companies/antofagasta/terrado-suites-antofagasta.html"", ""vertical"": ""Tourism""}"
Terrado Suites Antofagasta,admin@terrado.cl,+56 55 271 2801 /,Terrado Suites Antofagasta,Administrador/a,lead,0,tourism,Tourism & Hospitality,antofagasta,terrado.cl,"{""city"": ""antofagasta"", ""niche"": ""tourism"", ""website"": ""terrado.cl"", ""page"": ""companies/antofagasta/terrado-suites-antofagasta.html"", ""vertical"": ""Tourism""}"
